Date,Event,Category
1990-08-02,Iraq invades Kuwait (Gulf War),Geopolitical Conflict
1997-07-02,Asian Financial Crisis begins,Financial Crisis
2001-09-11,September 11 Attacks,Geopolitical Shock
2003-03-20,Iraq War begins,Geopolitical Conflict
2008-09-15,Lehman Brothers Collapse (Global Financial Crisis),Financial Crisis
2010-04-20,Deepwater Horizon Oil Spill,Supply Shock
2011-02-15,Arab Spring unrest spreads,Geopolitical Instability
2014-11-27,OPEC decides not to cut production,OPEC Policy
2016-01-16,Iran sanctions lifted,Sanctions Policy
2018-05-08,US withdraws from Iran nuclear deal,Sanctions Policy
2020-03-11,WHO declares COVID-19 pandemic,Global Demand Shock
2020-04-20,Historic oil price crash (WTI negative),Market Shock
2022-02-24,Russia invades Ukraine,Geopolitical Conflict
